source_name,source_type,resource_title,resource_page_url,download_url,local_file,license_usage,retrieved_at_utc
Australian Government Department of Education,scrape,Student Enrolment Pivot Table,https://www.education.gov.au/higher-education-statistics/resources/perturbed-student-enrolments-pivot-table-2024,https://www.education.gov.au/download/19507/perturbed-student-enrolments-pivot-table-2024/41971/document/xlsx,data\raw\education\Perturbed Student Enrolments Pivot Table 2024.xlsx,Not specified by source,2026-09-09T10:42:21.500449+00:00
Australian Government Department of Education,scrape,Student Load Pivot Table,https://www.education.gov.au/higher-education-statistics/resources/perturbed-student-load-pivot-table-2024,https://www.education.gov.au/download/19508/perturbed-student-load-pivot-table-2024/41972/document/xlsx,data\raw\education\Perturbed Student Load Pivot Table 2024.xlsx,Not specified by source,2026-09-09T10:42:22.264084+00:00
Australian Government Department of Education,scrape,Award Course Completions Pivot Table,https://www.education.gov.au/higher-education-statistics/resources/perturbed-award-course-completions-pivot-table-2024,https://www.education.gov.au/download/19509/perturbed-award-course-completions-pivot-table-2024/41973/document/xlsx,data\raw\education\Perturbed Award Course Completions Pivot Table 2024.xlsx,Not specified by source,2026-09-09T10:42:23.066963+00:00
Australian Government Department of Education,scrape,2024 Student summary tables,https://www.education.gov.au/higher-education-statistics/resources/2024-student-summary-tables,https://www.education.gov.au/download/19478/2024-student-summary-tables/41926/document/xlsx,data\raw\education\2024_Student_Summary_Tables.xlsx,Not specified by source,2026-09-09T10:42:23.937504+00:00
Australian Government Department of Education,scrape,2024 Student summary time series,https://www.education.gov.au/higher-education-statistics/resources/2024-student-summary-time-series,https://www.education.gov.au/download/19479/2024-student-summary-time-series/41927/document/xlsx,data\raw\education\2024_Summary_Timeseries.xlsx,Not specified by source,2026-09-09T10:42:24.733739+00:00
Australian Government Department of Education,scrape,2024 Section 1 - Commencing students,https://www.education.gov.au/higher-education-statistics/resources/2024-section-1-commencing-students,https://www.education.gov.au/download/19480/2024-section-1-commencing-students/41928/document/xlsx,data\raw\education\2024_Section1_Commencing_Students.xlsx,Not specified by source,2026-09-09T10:42:25.876586+00:00
Australian Government Department of Education,scrape,2024 Section 2 - All students,https://www.education.gov.au/higher-education-statistics/resources/2024-section-2-all-students,https://www.education.gov.au/download/19481/2024-section-2-all-students/41929/document/xlsx,data\raw\education\2024_Section2_All_Students.xlsx,Not specified by source,2026-09-09T10:42:26.885406+00:00
Australian Government Department of Education,scrape,2024 Section 3 - Commencing student load,https://www.education.gov.au/higher-education-statistics/resources/2024-section-3-commencing-student-load,https://www.education.gov.au/download/19482/2024-section-3-commencing-student-load/41930/document/xlsx,data\raw\education\2024_Section3_Commencing_Student_Load.xlsx,Not specified by source,2026-09-09T10:42:28.363156+00:00
Australian Government Department of Education,scrape,2024 Section 4 - All student load,https://www.education.gov.au/higher-education-statistics/resources/2024-section-4-all-student-load,https://www.education.gov.au/download/19483/2024-section-4-all-student-load/41932/document/xlsx,data\raw\education\2024_Section4_All_Student_Load.xlsx,Not specified by source,2026-09-09T10:42:29.166902+00:00
Australian Government Department of Education,scrape,2024 Section 5 - Liability status categories,https://www.education.gov.au/higher-education-statistics/resources/2024-section-5-liability-status-categories,https://www.education.gov.au/download/19484/2024-section-5-liability-status-categories/41934/document/xlsx,data\raw\education\2024_Section5_Liability_Status.xlsx,Not specified by source,2026-09-09T10:42:29.865586+00:00
Australian Government Department of Education,scrape,2024 Section 6 - First Nations students,https://www.education.gov.au/higher-education-statistics/resources/2024-section-6-first-nations-students,https://www.education.gov.au/download/19485/2024-section-6-first-nations-students/41935/document/xlsx,data\raw\education\2024_Section6_First_Nations_Students.xlsx,Not specified by source,2026-09-09T10:42:30.764785+00:00
Australian Government Department of Education,scrape,2024 Section 7 - Overseas students,https://www.education.gov.au/higher-education-statistics/resources/2024-section-7-overseas-students,https://www.education.gov.au/download/19486/2024-section-7-overseas-students/41936/document/xlsx,data\raw\education\2024_Section7_Overseas_Students.xlsx,Not specified by source,2026-09-09T10:42:31.590301+00:00
