source_name,source_type,title,url,source_page,license_usage,retrieved_at_utc
Australian Government Department of Education,scrape,Student Enrolment Pivot Table,https://www.education.gov.au/higher-education-statistics/resources/perturbed-student-enrolments-pivot-table-2024,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,Student Load Pivot Table,https://www.education.gov.au/higher-education-statistics/resources/perturbed-student-load-pivot-table-2024,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,Award Course Completions Pivot Table,https://www.education.gov.au/higher-education-statistics/resources/perturbed-award-course-completions-pivot-table-2024,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,2024 Student summary tables,https://www.education.gov.au/higher-education-statistics/resources/2024-student-summary-tables,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,2024 Student summary time series,https://www.education.gov.au/higher-education-statistics/resources/2024-student-summary-time-series,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,2024 Section 1 - Commencing students,https://www.education.gov.au/higher-education-statistics/resources/2024-section-1-commencing-students,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,2024 Section 2 - All students,https://www.education.gov.au/higher-education-statistics/resources/2024-section-2-all-students,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,2024 Section 3 - Commencing student load,https://www.education.gov.au/higher-education-statistics/resources/2024-section-3-commencing-student-load,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,2024 Section 4 - All student load,https://www.education.gov.au/higher-education-statistics/resources/2024-section-4-all-student-load,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,2024 Section 5 - Liability status categories,https://www.education.gov.au/higher-education-statistics/resources/2024-section-5-liability-status-categories,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,2024 Section 6 - First Nations students,https://www.education.gov.au/higher-education-statistics/resources/2024-section-6-first-nations-students,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,2024 Section 7 - Overseas students,https://www.education.gov.au/higher-education-statistics/resources/2024-section-7-overseas-students,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,2024 Section 8 - Special courses,https://www.education.gov.au/higher-education-statistics/resources/2024-section-8-special-courses,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,2024 Section 9 Ethnicity related data,https://www.education.gov.au/higher-education-statistics/resources/2024-section-9-ethnicity-related-data,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,2024 Section 10 Open Universities Australia,https://www.education.gov.au/higher-education-statistics/resources/2024-section-10-open-universities-australia,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
Australian Government Department of Education,scrape,2024 Section 11 Equity groups,https://www.education.gov.au/higher-education-statistics/resources/2024-section-11-equity-groups,https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2024-student-data,Not specified by source,2026-09-09T10:42:20.616949+00:00
